Name,Cluster_Name,Cluster
Noah Vonleh,Stretch 4s,3
Norman Powell,C&S Guards,4
Norris Cole,PnR/Ball handling Guards,1
O.J. Mayo,C&S Guards,4
Omer Asik,Rolling Bigs,2
Omri Casspi,Perimeter Wings,6
Otto Porter Jr.,Perimeter Wings,6
P.J. Tucker,Perimeter Wings,6
PJ Hairston,Perimeter Wings,6
Pablo Prigioni,PnR/Ball handling Guards,1
Patrick Beverley,C&S Guards,4
Patrick Patterson,Perimeter Wings,6
Patty Mills,C&S Guards,4
Pau Gasol,Post-Up Bigs,5
Paul George,Versatile Wings,0
Paul Millsap,Stretch 4s,3
Paul Pierce,Perimeter Wings,6
Phil Pressey,PnR/Ball handling Guards,1
Quincy Acy,Stretch 4s,3
Rajon Rondo,PnR/Ball handling Guards,1
Ramon Sessions,PnR/Ball handling Guards,1
Randy Foye,C&S Guards,4
Rashad Vaughn,Perimeter Wings,6
Raul Neto,C&S Guards,4
Ray McCallum,PnR/Ball handling Guards,1
Raymond Felton,PnR/Ball handling Guards,1
Reggie Bullock,Perimeter Wings,6
Reggie Jackson,PnR/Ball handling Guards,1
Richard Jefferson,Perimeter Wings,6
Richaun Holmes,Rolling Bigs,2
Ricky Rubio,PnR/Ball handling Guards,1
Robert Covington,Perimeter Wings,6
Robert Sacre,Post-Up Bigs,5
Robin Lopez,Post-Up Bigs,5
Rodney Hood,C&S Guards,4
Rodney Stuckey,PnR/Ball handling Guards,1
Rondae Hollis-Jefferson,C&S Guards,4
Ronnie Price,C&S Guards,4
Roy Hibbert,Post-Up Bigs,5
Rudy Gay,Versatile Wings,0
Rudy Gobert,Rolling Bigs,2
Russell Westbrook,PnR/Ball handling Guards,1
Ryan Anderson,Stretch 4s,3
Ryan Hollins,Rolling Bigs,2
Ryan Kelly,Stretch 4s,3
Salah Mejri,Rolling Bigs,2
Sasha Vujacic,Perimeter Wings,6
Sean Kilpatrick,C&S Guards,4
Serge Ibaka,Stretch 4s,3
Seth Curry,C&S Guards,4
